GEO_ID,NAME,PCT020001,PCT020002,PCT020003,PCT020004,PCT020005,PCT020006,PCT020007,PCT020008,PCT020009,PCT020010,PCT020011,PCT020012,PCT020013,PCT020014,PCT020015,PCT020016,PCT020017,PCT020018,PCT020019,PCT020020,PCT020021,PCT020022,PCT020023,PCT020024,PCT020025,PCT020026,PCT020027,PCT020028,PCT020029,PCT020030,PCT020031,PCT020032
0500000US40003,"Alfalfa County, Oklahoma",1054,1054,1014,0,0,1003,11,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US40007,"Beaver County, Oklahoma",43,43,12,0,0,0,12,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US40005,"Atoka County, Oklahoma",750,747,704,0,0,648,56,0,0,0,0,0,0,43,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0
0500000US40009,"Beckham County, Oklahoma",1907,1900,1740,0,0,62,0,1678,0,5,0,0,5,155,0,0,0,0,0,0,7,0,0,0,0,7,0,7,0,0,0,0
0500000US40013,"Bryan County, Oklahoma",1134,370,94,0,0,0,94,0,0,10,0,5,5,266,0,0,0,0,0,0,764,595,0,0,0,169,0,0,0,0,0,169
0500000US40015,"Caddo County, Oklahoma",1935,1920,1775,0,0,1685,90,0,0,5,5,0,0,140,0,0,0,0,0,0,15,0,0,0,0,15,0,15,0,0,0,0
0500000US40023,"Choctaw County, Oklahoma",172,166,44,0,0,0,44,0,0,0,0,0,0,122,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,0
0500000US40025,"Cimarron County, Oklahoma",7,7,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US40029,"Coal County, Oklahoma",61,61,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US40031,"Comanche County, Oklahoma",10343,3772,3164,0,0,2488,379,147,150,84,4,60,20,523,1,1,0,0,0,0,6571,482,5768,5768,0,321,49,16,95,0,144,17
0500000US40021,"Cherokee County, Oklahoma",2008,395,95,0,0,0,95,0,0,17,0,0,17,283,0,0,0,0,0,0,1613,1243,0,0,0,370,13,63,16,0,245,33
0500000US40045,"Ellis County, Oklahoma",46,46,5,0,0,0,5,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US40017,"Canadian County, Oklahoma",2488,2179,1765,0,1465,0,74,226,0,50,8,0,42,364,0,0,0,0,0,0,309,158,0,0,0,151,7,131,6,0,7,0
0500000US40019,"Carter County, Oklahoma",750,629,308,0,0,58,159,91,0,0,0,0,0,321,0,0,0,0,0,0,121,0,0,0,0,121,30,33,54,0,0,4
0500000US40027,"Cleveland County, Oklahoma",10561,4587,3164,0,0,2884,280,0,0,161,69,68,24,1092,170,106,64,0,0,0,5974,5737,0,0,0,237,86,59,18,0,31,43
0500000US40033,"Cotton County, Oklahoma",48,37,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,11
